model,win,strategy,n_chunks,ndcg10,recall100,mrr10
MiniLM-L6,256,doc,3633,0.3189,0.3148,0.5083
MiniLM-L6,256,fixed_128,13100,0.3282,0.3168,0.5138
MiniLM-L6,256,fixed_256,7099,0.3208,0.3113,0.5106
MiniLM-L6,256,fixed_512,3980,0.3164,0.3107,0.5071
BGE-small,512,doc,3633,0.3444,0.3125,0.5272
BGE-small,512,fixed_128,13100,0.3446,0.3086,0.5334
BGE-small,512,fixed_256,7099,0.3517,0.3124,0.5354
BGE-small,512,fixed_512,3980,0.345,0.3119,0.5314
Nomic-v1.5,8192,doc,3633,0.3471,0.2984,0.5307
Nomic-v1.5,8192,fixed_128,13100,0.3485,0.2989,0.5344
Nomic-v1.5,8192,fixed_256,7099,0.3477,0.2915,0.5396
Nomic-v1.5,8192,fixed_512,3980,0.3445,0.2971,0.5286
