dataset,index,ndcg10,R10,R100,lat_ms,build_s,MB,family
scifact,Flat,0.7274,1.0,1.0,0.2449,0.001,15.92,Flat
scifact,IVF nprobe=1,0.3824,0.3927,0.187,0.0108,0.021,16.37,IVF
scifact,IVF nprobe=4,0.6031,0.6597,0.4275,0.0221,0.021,16.37,IVF
scifact,IVF nprobe=8,0.6436,0.7883,0.5883,0.0318,0.02,16.37,IVF
scifact,IVF nprobe=16,0.6903,0.8737,0.7494,0.051,0.021,16.37,IVF
scifact,IVF nprobe=132,0.7274,1.0,1.0,0.2484,0.02,16.37,IVF
scifact,HNSW ef=16,0.705,0.932,0.6632,0.0421,0.156,17.33,HNSW
scifact,HNSW ef=32,0.7234,0.9747,0.8189,0.0633,0.154,17.33,HNSW
scifact,HNSW ef=64,0.7248,0.9903,0.9307,0.0948,0.147,17.33,HNSW
scifact,HNSW ef=128,0.7274,0.9987,0.9816,0.1445,0.154,17.33,HNSW
scifact,HNSW ef=256,0.7274,0.9997,0.9969,0.2472,0.149,17.33,HNSW
nfcorpus,Flat,0.3525,1.0,1.0,0.1747,0.0,11.16,Flat
nfcorpus,IVF nprobe=1,0.1913,0.2935,0.1365,0.0085,0.01,11.48,IVF
nfcorpus,IVF nprobe=4,0.2728,0.5337,0.3334,0.0178,0.011,11.48,IVF
nfcorpus,IVF nprobe=8,0.3041,0.6619,0.4778,0.0275,0.011,11.48,IVF
nfcorpus,IVF nprobe=16,0.335,0.7802,0.657,0.0445,0.01,11.48,IVF
nfcorpus,IVF nprobe=93,0.3525,1.0,0.9999,0.1819,0.011,11.48,IVF
nfcorpus,HNSW ef=16,0.3505,0.8458,0.5731,0.0375,0.085,12.15,HNSW
nfcorpus,HNSW ef=32,0.352,0.908,0.7367,0.0554,0.087,12.15,HNSW
nfcorpus,HNSW ef=64,0.3503,0.9545,0.8761,0.082,0.091,12.15,HNSW
nfcorpus,HNSW ef=128,0.3519,0.983,0.9578,0.1262,0.091,12.15,HNSW
nfcorpus,HNSW ef=256,0.3528,0.9935,0.9894,0.2175,0.088,12.15,HNSW
fiqa,Flat,0.3987,1.0,1.0,2.0845,0.016,177.06,Flat
fiqa,IVF nprobe=1,0.1902,0.331,0.185,0.0519,0.953,180.48,IVF
fiqa,IVF nprobe=8,0.3328,0.7233,0.555,0.0854,0.932,180.48,IVF
fiqa,IVF nprobe=16,0.3561,0.8252,0.6889,0.1154,0.929,180.48,IVF
fiqa,IVF nprobe=32,0.3732,0.9031,0.8059,0.1721,0.927,180.48,IVF
fiqa,IVF nprobe=960,0.3987,1.0,1.0,3.1211,0.929,180.48,IVF
fiqa,HNSW ef=16,0.3683,0.8528,0.6021,0.0921,5.893,192.75,HNSW
fiqa,HNSW ef=32,0.3811,0.9307,0.7543,0.1384,5.866,192.75,HNSW
fiqa,HNSW ef=64,0.3917,0.9725,0.8748,0.2225,5.98,192.75,HNSW
fiqa,HNSW ef=128,0.3948,0.9894,0.9493,0.3691,5.88,192.75,HNSW
fiqa,HNSW ef=256,0.3945,0.9958,0.9833,0.6486,5.906,192.75,HNSW
