dataset,depth,ndcg10,mrr10,r10,ms_per_q
fiqa,10,0.4036505021545627,0.4852133548892808,0.47050885928200736,38.699688366901725
fiqa,25,0.40241500114802387,0.47506736233588087,0.4848816435621991,99.12641328058125
fiqa,50,0.3942947066246447,0.46720985204781496,0.472212436911511,202.96472826121766
fiqa,100,0.38618456017797675,0.45748824221046447,0.46498700202403914,471.94908798476797
fiqa,200,0.37857994881485607,0.4498793601802861,0.4541306430195319,860.3610760635801
scifact,10,0.7135656796396218,0.6774431216931217,0.8506666666666667,56.15962028503418
scifact,25,0.7030226522232503,0.670595238095238,0.8322222222222222,137.64318386713666
scifact,50,0.6912062077974487,0.6598822751322752,0.8135555555555556,273.87733300526935
scifact,100,0.6858180995201714,0.6554497354497354,0.8062222222222223,609.9874170621237
scifact,200,0.6787596123901513,0.6504880952380953,0.7938888888888889,1024.6033239364624
