reranker,params_M,dataset,ndcg10,mrr10,r10,d_ndcg,ms_per_q,pairs_per_s
TinyBERT-L2,4,scifact,0.6576136426202676,0.6249497354497354,0.7828888888888889,-0.06983165037758687,115.09403308232625,868.8547731094839
TinyBERT-L2,4,nfcorpus,0.33500460371579605,0.5460636886333481,0.15894337829401606,-0.018204896293035733,113.37881191596158,881.9990111919835
TinyBERT-L2,4,fiqa,0.3298884285545389,0.3939882177150696,0.41064029420510906,-0.06877792720507298,89.60597824167323,1115.9969676386258
MiniLM-L6,22,scifact,0.6858180995201714,0.6554497354497354,0.8062222222222223,-0.04162719347768307,609.9874170621237,163.93780790041376
MiniLM-L6,22,nfcorpus,0.35302726974089066,0.5798614182515112,0.16149498997821596,-0.00018223026794111918,597.0269917703635,167.49661468984863
MiniLM-L6,22,fiqa,0.38618456017797675,0.45748824221046447,0.46498700202403914,-0.012481795581635147,471.94908798476797,211.88726188030577
MiniLM-L12,33,scifact,0.6940273401404238,0.6659140211640211,0.8068888888888889,-0.033417952857430655,1256.9459533691406,79.55791554279497
MiniLM-L12,33,nfcorpus,0.3539395800151575,0.585172490048651,0.1628742600708848,0.0007300800063257396,1158.074427684394,86.35023588246665
MiniLM-L12,33,fiqa,0.38925715591340243,0.4587944591416813,0.4685614925198259,-0.00940919984620947,891.2074709380114,112.2073178928227
BGE-base,278,scifact,0.6569875377825175,0.6198544973544974,0.7956111111111112,-0.07045775521533693,3115.483299891154,32.09774868749697
BGE-base,278,nfcorpus,0.2967604894655543,0.49167403803626714,0.1363055698911637,-0.0564490105432775,2671.2138578987715,37.43616397627629
BGE-base,278,fiqa,0.31339247537682274,0.3681449637468156,0.40240065575713724,-0.08527388038278916,2224.1330062165675,44.961339866138765
