dataset,technique,ndcg10,r10,r100,mrr10,d_ndcg,oracle100
scifact,naive,0.42789681039486605,0.6525000000000001,0.85,0.3608928571428572,0.0,0.85
scifact,prf,0.42350091667845025,0.6275000000000001,0.875,0.3594047619047619,-0.0043958937164158,0.85
scifact,hyde,0.5505913383683743,0.73,0.95,0.5088095238095238,0.12269452797350822,0.85
scifact,hyde_passage,0.5211478848875931,0.7474999999999999,0.975,0.46158730158730155,0.09325107449272707,0.85
scifact,hydeN,0.5435716578932637,0.745,0.9,0.4906547619047618,0.11567484749839763,0.85
scifact,multiquery,0.44557497588489214,0.6525000000000001,0.85,0.38752976190476185,0.0176781654900261,0.85
scifact,stepback,0.395807944071478,0.5825,0.925,0.34214285714285714,-0.03208886632338803,0.85
nfcorpus,naive,0.36236282307402107,0.2058066709230406,0.34967921838485577,0.5098214285714285,0.0,0.6169203656427673
nfcorpus,prf,0.3651065381516322,0.2035246431316562,0.35526559992386914,0.5002380952380953,0.0027437150776111197,0.6169203656427673
nfcorpus,hyde,0.3597618289741827,0.20584220488974,0.43136023282453595,0.5652777777777779,-0.002600994099838383,0.6169203656427673
nfcorpus,hyde_passage,0.38266226601688746,0.2191755140569494,0.42759051345622223,0.5877380952380953,0.020299442942866397,0.6169203656427673
nfcorpus,hydeN,0.392925466107677,0.22126631056018314,0.4344275577724034,0.5681547619047619,0.030562643033655912,0.6169203656427673
nfcorpus,multiquery,0.35639254610505106,0.18749764837502933,0.3915196614400024,0.5177083333333334,-0.005970276968970012,0.6169203656427673
nfcorpus,stepback,0.2736516411185362,0.15642994767411592,0.4150237254004018,0.4760416666666666,-0.08871118195548489,0.6169203656427673
fiqa,naive,0.3376646844412469,0.41716269841269843,0.7113293650793651,0.4209623015873015,0.0,0.7521878383877938
fiqa,prf,0.3385456121306583,0.41646825396825393,0.7301388888888889,0.40864087301587304,0.0008809276894113927,0.7521878383877938
fiqa,hyde,0.26316482353416304,0.36860119047619044,0.6785119047619047,0.3096130952380952,-0.07449986090708388,0.7521878383877938
fiqa,hyde_passage,0.255670406513021,0.31741071428571427,0.6488888888888888,0.2919047619047619,-0.08199427792822594,0.7521878383877938
fiqa,hydeN,0.3779301037139827,0.4583829365079365,0.7618452380952382,0.4469444444444445,0.0402654192727358,0.7521878383877938
fiqa,multiquery,0.3724395132651136,0.4400793650793651,0.7182738095238095,0.45979166666666665,0.03477482882386668,0.7521878383877938
fiqa,stepback,0.29236773088528595,0.3785218253968254,0.6820238095238095,0.36800595238095235,-0.04529695355596097,0.7521878383877938
